run_id,pid,start_time,end_time,duration_seconds,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,seed,avg_final_reward
gamma_0.9_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_21,23184,2025-11-11T13:53:17.407847,2025-11-11T13:53:44.846292,27.438445,0.9,0.0005,64,0.99,False,21,1.0
gamma_0.85_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_12,24548,2025-11-11T13:53:17.249032,2025-11-11T13:53:49.687064,32.438032,0.85,0.0005,64,0.995,False,12,1.0
gamma_0.95_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_24,24552,2025-11-11T13:53:17.420847,2025-11-11T13:53:55.858911,38.438064,0.95,0.001,64,0.995,False,24,1.0
gamma_0.9_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_20,20868,2025-11-11T13:53:17.397736,2025-11-11T13:54:39.906677,82.508941,0.9,0.0005,64,0.995,False,20,1.0
gamma_0.85_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_10,20880,2025-11-11T13:53:17.192034,2025-11-11T13:54:03.212715,46.020681,0.85,0.001,128,0.995,False,10,1.0
gamma_0.85_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_11,19932,2025-11-11T13:53:17.199031,2025-11-11T13:55:09.633706,112.434675,0.85,0.001,128,0.99,False,11,1.0
gamma_0.8_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_3,19780,2025-11-11T13:53:16.812126,2025-11-11T13:54:51.697737,94.885611,0.8,0.001,128,0.99,False,3,0.99
gamma_0.8_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_2,15000,2025-11-11T13:53:16.422429,2025-11-11T13:53:49.714064,33.291635,0.8,0.001,128,0.995,False,2,0.99
gamma_0.9_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_19,24208,2025-11-11T13:53:17.364458,2025-11-11T13:55:17.261517,119.897059,0.9,0.001,128,0.99,False,19,0.99
gamma_0.85_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_9,20496,2025-11-11T13:53:17.183980,2025-11-11T13:53:46.344159,29.160179,0.85,0.001,64,0.99,False,9,0.99
gamma_0.95_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_25,20572,2025-11-11T13:53:17.422848,2025-11-11T13:53:45.067291,27.644443,0.95,0.001,64,0.99,False,25,0.99
gamma_0.85_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_14,24512,2025-11-11T13:53:17.270084,2025-11-11T13:54:25.265135,67.995051,0.85,0.0005,128,0.995,False,14,0.99
gamma_0.8_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_7,20236,2025-11-11T13:53:17.101506,2025-11-11T13:53:57.678410,40.576904,0.8,0.0005,128,0.99,False,7,0.99
gamma_0.8_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_6,22672,2025-11-11T13:53:17.076505,2025-11-11T13:54:20.742600,63.666095,0.8,0.0005,128,0.995,False,6,0.99
gamma_0.85_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_8,22664,2025-11-11T13:53:17.109506,2025-11-11T13:53:45.095293,27.985787,0.85,0.001,64,0.995,False,8,0.99
gamma_0.8_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_0,17708,2025-11-11T13:53:16.177256,2025-11-11T13:54:11.166611,54.989355,0.8,0.001,64,0.995,False,0,0.98
gamma_0.95_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_28,10904,2025-11-11T13:53:43.414959,2025-11-11T13:54:42.121084,58.706125,0.95,0.0005,64,0.995,False,28,0.98
gamma_0.8_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_5,10904,2025-11-11T13:53:17.048452,2025-11-11T13:53:41.429332,24.38088,0.8,0.0005,64,0.99,False,5,0.98
