run_id,pid,start_time,end_time,duration_seconds,agent_type,gamma,learning_rate,epsilon_decay,is_slippery,reward_schedule,epsilon_start,epsilon_end,seed,avg_final_reward
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_False_learning_rate_0_001_seed_0,28056,2025-12-16T23:20:49.511301,2025-12-16T23:20:51.296234,1.784933,qlearning,0.8,0.001,0.95,False,"(1, -1, -0.01)",1.0,0.01,0,0.919
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_False_learning_rate_0_001_seed_16,28056,2025-12-16T23:20:51.543430,2025-12-16T23:20:52.839510,1.29608,qlearning,0.99,0.001,0.95,False,"(1, -1, -0.01)",1.0,0.01,16,0.9062000000000002
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_False_learning_rate_0_001_seed_12,26676,2025-12-16T23:20:50.050399,2025-12-16T23:20:52.141464,2.091065,qlearning,0.95,0.001,0.95,False,"(1, -1, -0.01)",1.0,0.01,12,0.9052000000000001
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_001_seed_8,3220,2025-12-16T23:20:49.971331,2025-12-16T23:20:52.058610,2.087279,qlearning,0.9,0.001,0.95,False,"(1, -1, -0.01)",1.0,0.01,8,0.9026
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_001_seed_4,26724,2025-12-16T23:20:49.864184,2025-12-16T23:20:51.928122,2.063938,qlearning,0.85,0.001,0.95,False,"(1, -1, -0.01)",1.0,0.01,4,0.9018
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_001_seed_5,15052,2025-12-16T23:20:49.889277,2025-12-16T23:20:51.934187,2.04491,qlearning,0.85,0.001,0.99,False,"(1, -1, -0.01)",1.0,0.01,5,0.8985
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_False_learning_rate_0_001_seed_1,4100,2025-12-16T23:20:49.534307,2025-12-16T23:20:51.321196,1.786889,qlearning,0.8,0.001,0.99,False,"(1, -1, -0.01)",1.0,0.01,1,0.8974
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_False_learning_rate_0_001_seed_17,4100,2025-12-16T23:20:51.554600,2025-12-16T23:20:52.860663,1.306063,qlearning,0.99,0.001,0.99,False,"(1, -1, -0.01)",1.0,0.01,17,0.8819999999999998
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_False_learning_rate_0_001_seed_13,22384,2025-12-16T23:20:50.054281,2025-12-16T23:20:52.153086,2.098805,qlearning,0.95,0.001,0.99,False,"(1, -1, -0.01)",1.0,0.01,13,0.8812000000000001
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_001_seed_9,9384,2025-12-16T23:20:50.009622,2025-12-16T23:20:52.122585,2.112963,qlearning,0.9,0.001,0.99,False,"(1, -1, -0.01)",1.0,0.01,9,0.8806999999999999
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_False_learning_rate_0_0005_seed_18,26164,2025-12-16T23:20:52.182099,2025-12-16T23:20:53.122845,0.940746,qlearning,0.99,0.0005,0.95,False,"(1, -1, -0.01)",1.0,0.01,18,0.8769
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_0005_seed_10,2856,2025-12-16T23:20:50.034586,2025-12-16T23:20:52.203756,2.16917,qlearning,0.9,0.0005,0.95,False,"(1, -1, -0.01)",1.0,0.01,10,0.8693999999999998
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_0005_seed_11,26864,2025-12-16T23:20:50.043120,2025-12-16T23:20:52.205826,2.162706,qlearning,0.9,0.0005,0.99,False,"(1, -1, -0.01)",1.0,0.01,11,0.8567000000000001
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_False_learning_rate_0_0005_seed_15,25748,2025-12-16T23:20:50.110949,2025-12-16T23:20:52.268509,2.15756,qlearning,0.95,0.0005,0.99,False,"(1, -1, -0.01)",1.0,0.01,15,0.8436999999999998
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_False_learning_rate_0_0005_seed_2,26164,2025-12-16T23:20:49.794413,2025-12-16T23:20:51.900589,2.106176,qlearning,0.8,0.0005,0.95,False,"(1, -1, -0.01)",1.0,0.01,2,0.8394999999999999
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_False_learning_rate_0_0005_seed_3,9404,2025-12-16T23:20:49.819571,2025-12-16T23:20:51.901588,2.082017,qlearning,0.8,0.0005,0.99,False,"(1, -1, -0.01)",1.0,0.01,3,0.8321999999999998
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_0005_seed_7,26996,2025-12-16T23:20:49.955240,2025-12-16T23:20:52.105963,2.150723,qlearning,0.85,0.0005,0.99,False,"(1, -1, -0.01)",1.0,0.01,7,0.8164999999999999
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_False_learning_rate_0_0005_seed_19,15052,2025-12-16T23:20:52.231139,2025-12-16T23:20:53.141552,0.910413,qlearning,0.99,0.0005,0.99,False,"(1, -1, -0.01)",1.0,0.01,19,0.807
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_0005_seed_6,25736,2025-12-16T23:20:49.911752,2025-12-16T23:20:51.937255,2.025503,qlearning,0.85,0.0005,0.95,False,"(1, -1, -0.01)",1.0,0.01,6,0.8062
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_False_learning_rate_0_0005_seed_14,9888,2025-12-16T23:20:50.092081,2025-12-16T23:20:52.241034,2.148953,qlearning,0.95,0.0005,0.95,False,"(1, -1, -0.01)",1.0,0.01,14,0.7959999999999999
