run_id,pid,start_time,end_time,duration_seconds,agent_type,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,reward_schedule,epsilon_start,epsilon_end,seed,avg_final_reward
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_0005_seed_13,27708,2025-12-16T23:21:31.102072,2025-12-16T23:22:52.029792,80.92772,dqn,0.85,0.0005,64,0.99,False,"(1, -1, -0.01)",1.0,0.01,13,0.9499000000000001
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_False_learning_rate_0_001_seed_25,11204,2025-12-16T23:23:24.632120,2025-12-16T23:24:33.492991,68.860871,dqn,0.95,0.001,64,0.99,False,"(1, -1, -0.01)",1.0,0.01,25,0.9497
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_0005_seed_21,14492,2025-12-16T23:22:55.275283,2025-12-16T23:24:10.464886,75.189603,dqn,0.9,0.0005,64,0.99,False,"(1, -1, -0.01)",1.0,0.01,21,0.9496000000000001
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_001_seed_16,27016,2025-12-16T23:22:45.501437,2025-12-16T23:23:58.140317,72.63888,dqn,0.9,0.001,64,0.95,False,"(1, -1, -0.01)",1.0,0.01,16,0.9495
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_001_seed_9,26932,2025-12-16T23:21:31.074577,2025-12-16T23:23:36.414165,125.339588,dqn,0.85,0.001,64,0.99,False,"(1, -1, -0.01)",1.0,0.01,9,0.9495
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_False_learning_rate_0_0005_seed_37,25316,2025-12-16T23:25:05.018980,2025-12-16T23:26:08.305600,63.28662,dqn,0.99,0.0005,64,0.99,False,"(1, -1, -0.01)",1.0,0.01,37,0.9494
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_False_learning_rate_0_001_seed_0,3156,2025-12-16T23:21:30.551567,2025-12-16T23:23:08.982054,98.430487,dqn,0.8,0.001,64,0.95,False,"(1, -1, -0.01)",1.0,0.01,0,0.9490000000000001
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_False_learning_rate_0_0005_seed_14,26632,2025-12-16T23:21:31.116750,2025-12-16T23:26:51.082472,319.965722,dqn,0.85,0.0005,128,0.95,False,"(1, -1, -0.01)",1.0,0.01,14,0.9489
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_0005_seed_22,23760,2025-12-16T23:22:56.581886,2025-12-16T23:24:11.414792,74.832906,dqn,0.9,0.0005,128,0.95,False,"(1, -1, -0.01)",1.0,0.01,22,0.9489
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_False_learning_rate_0_001_seed_19,5668,2025-12-16T23:22:52.371759,2025-12-16T23:24:08.892784,76.521025,dqn,0.9,0.001,128,0.99,False,"(1, -1, -0.01)",1.0,0.01,19,0.9302000000000001
