run_id,pid,start_time,end_time,duration_seconds,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,reward_schedule,seed,avg_final_reward
"gamma_0.95_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_25",4620,2025-11-18T20:09:50.198420,2025-11-18T20:43:44.240228,2034.041808,0.95,0.001,64,0.99,True,"(1, -1, -0.01)",25,0.1581999999999998
"gamma_0.99_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_32",4622,2025-11-18T20:36:56.599033,2025-11-18T21:03:02.233163,1565.63413,0.99,0.001,64,0.995,True,"(1, -1, -0.01)",32,0.1380999999999998
"gamma_0.9_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_21",4622,2025-11-18T20:02:45.995731,2025-11-18T20:36:55.003883,2049.008152,0.9,0.0005,64,0.99,True,"(1, -1, -0.01)",21,0.12939999999999985
"gamma_0.99_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_34",4617,2025-11-18T20:37:14.972749,2025-11-18T21:05:34.176429,1699.20368,0.99,0.001,128,0.995,True,"(1, -1, -0.01)",34,0.1167999999999998
"gamma_0.95_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_26",4623,2025-11-18T19:45:07.673042,2025-11-18T20:15:06.237377,1798.564335,0.95,0.001,128,0.995,True,"(1, -1, -0.01)",26,0.10949999999999982
"gamma_0.99_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_39",4618,2025-11-18T21:10:03.202518,2025-11-18T21:24:39.470011,876.267493,0.99,0.0005,128,0.99,True,"(1, -1, -0.01)",39,0.10329999999999977
"gamma_0.95_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_30",4619,2025-11-18T19:48:21.686021,2025-11-18T20:19:03.416411,1841.73039,0.95,0.0005,128,0.995,True,"(1, -1, -0.01)",30,0.0731999999999998
"gamma_0.9_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_19",4624,2025-11-18T20:07:53.959822,2025-11-18T20:50:27.502128,2553.542306,0.9,0.001,128,0.99,True,"(1, -1, -0.01)",19,0.05209999999999982
"gamma_0.95_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_28",4618,2025-11-18T19:45:08.416409,2025-11-18T20:09:48.366715,1479.950306,0.95,0.0005,64,0.995,True,"(1, -1, -0.01)",28,0.015299999999999798
"gamma_0.95_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_31",4619,2025-11-18T20:19:04.069149,2025-11-18T20:57:36.421914,2312.352765,0.95,0.0005,128,0.99,True,"(1, -1, -0.01)",31,-0.01010000000000016
