run_id,pid,start_time,end_time,duration_seconds,agent_type,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,reward_schedule,epsilon_start,epsilon_end,seed,avg_final_reward
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_001_seed_35,23564,2025-12-16T23:39:37.624120,2025-12-16T23:43:04.245056,206.620936,dqn,0.99,0.001,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,35,0.18819999999999978
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_0005_seed_28,3252,2025-12-16T23:35:20.108290,2025-12-16T23:41:08.896159,348.787869,dqn,0.95,0.0005,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,28,0.1373999999999998
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_0005_seed_38,26412,2025-12-16T23:40:20.976951,2025-12-16T23:43:28.041305,187.064354,dqn,0.99,0.0005,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,38,0.10529999999999984
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_0005_seed_23,3008,2025-12-16T23:34:32.289674,2025-12-16T23:40:26.850909,354.561235,dqn,0.9,0.0005,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,23,0.09599999999999982
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_001_seed_26,8300,2025-12-16T23:34:44.607440,2025-12-16T23:40:09.841441,325.234001,dqn,0.95,0.001,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,26,0.08639999999999982
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_0005_seed_31,22464,2025-12-16T23:36:21.514471,2025-12-16T23:41:16.889795,295.375324,dqn,0.95,0.0005,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,31,0.03999999999999986
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_0005_seed_5,8868,2025-12-16T23:28:15.080311,2025-12-16T23:33:35.177180,320.096869,dqn,0.8,0.0005,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,5,0.009699999999999796
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_001_seed_25,25816,2025-12-16T23:34:37.009401,2025-12-16T23:39:36.873739,299.864338,dqn,0.95,0.001,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,25,0.008399999999999767
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_0005_seed_30,20576,2025-12-16T23:35:34.475172,2025-12-16T23:42:41.901688,427.426516,dqn,0.95,0.0005,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,30,-0.0007000000000001549
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_001_seed_18,21812,2025-12-16T23:33:46.742910,2025-12-16T23:40:21.065709,394.322799,dqn,0.9,0.001,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,18,-0.016600000000000205
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_0005_seed_21,26796,2025-12-16T23:34:07.441142,2025-12-16T23:39:15.574830,308.133688,dqn,0.9,0.0005,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,21,-0.044100000000000215
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_0005_seed_6,20576,2025-12-16T23:28:15.122091,2025-12-16T23:35:34.263897,439.141806,dqn,0.8,0.0005,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,6,-0.049600000000000206
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_0005_seed_37,28284,2025-12-16T23:40:19.513594,2025-12-16T23:43:07.441230,167.927636,dqn,0.99,0.0005,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,37,-0.05040000000000017
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_001_seed_9,20568,2025-12-16T23:28:15.136872,2025-12-16T23:33:20.866842,305.72997,dqn,0.85,0.001,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,9,-0.052100000000000264
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_0005_seed_15,23564,2025-12-16T23:28:15.259747,2025-12-16T23:33:58.029372,342.769625,dqn,0.85,0.0005,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,15,-0.06680000000000025
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_0005_seed_14,3252,2025-12-16T23:28:15.253283,2025-12-16T23:35:19.891750,424.638467,dqn,0.85,0.0005,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,14,-0.0733000000000002
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_0005_seed_39,21812,2025-12-16T23:40:21.231181,2025-12-16T23:43:15.045555,173.814374,dqn,0.99,0.0005,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,39,-0.0995000000000002
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_0005_seed_7,27052,2025-12-16T23:28:15.122091,2025-12-16T23:34:08.873026,353.750935,dqn,0.8,0.0005,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,7,-0.10110000000000023
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_0005_seed_22,27052,2025-12-16T23:34:09.085133,2025-12-16T23:40:36.879792,387.794659,dqn,0.9,0.0005,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,22,-0.1270000000000002
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_001_seed_19,23564,2025-12-16T23:33:58.242743,2025-12-16T23:39:37.465211,339.222468,dqn,0.9,0.001,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,19,-0.14940000000000025
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_001_seed_34,25816,2025-12-16T23:39:37.034769,2025-12-16T23:42:59.395393,202.360624,dqn,0.99,0.001,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,34,-0.1573000000000002
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_001_seed_11,26796,2025-12-16T23:28:15.193557,2025-12-16T23:34:07.223430,352.029873,dqn,0.85,0.001,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,11,-0.1689000000000002
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_0005_seed_4,25816,2025-12-16T23:28:14.965909,2025-12-16T23:34:36.785265,381.819356,dqn,0.8,0.0005,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,4,-0.17370000000000027
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_0005_seed_13,21812,2025-12-16T23:28:15.222208,2025-12-16T23:33:46.476803,331.254595,dqn,0.85,0.0005,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,13,-0.18650000000000022
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_0005_seed_12,3008,2025-12-16T23:28:15.196009,2025-12-16T23:34:32.073300,376.877291,dqn,0.85,0.0005,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,12,-0.18710000000000018
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_001_seed_27,26412,2025-12-16T23:34:51.187814,2025-12-16T23:40:20.815208,329.627394,dqn,0.95,0.001,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,27,-0.20900000000000019
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_001_seed_17,8868,2025-12-16T23:33:35.391140,2025-12-16T23:38:26.517881,291.126741,dqn,0.9,0.001,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,17,-0.2395000000000002
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_0005_seed_36,8300,2025-12-16T23:40:10.003119,2025-12-16T23:43:04.153081,174.149962,dqn,0.99,0.0005,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,36,-0.2643000000000002
agent_type_dqn_batch_size_128_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_001_seed_3,28284,2025-12-16T23:28:14.926491,2025-12-16T23:34:33.949685,379.023194,dqn,0.8,0.001,128,0.99,True,"(1, -1, -0.01)",1.0,0.01,3,-0.27940000000000026
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_0005_seed_29,10252,2025-12-16T23:35:23.962894,2025-12-16T23:40:34.913718,310.950824,dqn,0.95,0.0005,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,29,-0.2917000000000002
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_001_seed_24,28284,2025-12-16T23:34:34.167774,2025-12-16T23:40:19.351315,345.183541,dqn,0.95,0.001,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,24,-0.2924000000000002
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_001_seed_10,10252,2025-12-16T23:28:15.183455,2025-12-16T23:35:23.743938,428.560483,dqn,0.85,0.001,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,10,-0.3115000000000002
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_001_seed_0,26412,2025-12-16T23:28:14.709558,2025-12-16T23:34:50.970012,396.260454,dqn,0.8,0.001,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,0,-0.31660000000000027
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_001_seed_1,8732,2025-12-16T23:28:14.800583,2025-12-16T23:34:04.115537,349.314954,dqn,0.8,0.001,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,1,-0.3548000000000002
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_0005_seed_20,8732,2025-12-16T23:34:04.332876,2025-12-16T23:42:14.100355,489.767479,dqn,0.9,0.0005,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,20,-0.3789000000000001
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_001_seed_8,8300,2025-12-16T23:28:15.133189,2025-12-16T23:34:44.387466,389.254277,dqn,0.85,0.001,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,8,-0.4263000000000003
agent_type_dqn_batch_size_128_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_001_seed_2,22464,2025-12-16T23:28:14.866485,2025-12-16T23:36:21.294501,486.428016,dqn,0.8,0.001,128,0.95,True,"(1, -1, -0.01)",1.0,0.01,2,-0.4375000000000003
agent_type_dqn_batch_size_64_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_001_seed_33,26796,2025-12-16T23:39:15.732715,2025-12-16T23:43:03.332993,227.600278,dqn,0.99,0.001,64,0.99,True,"(1, -1, -0.01)",1.0,0.01,33,-0.5488000000000002
agent_type_dqn_batch_size_64_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_001_seed_16,20568,2025-12-16T23:33:21.082615,2025-12-16T23:41:26.324330,485.241715,dqn,0.9,0.001,64,0.95,True,"(1, -1, -0.01)",1.0,0.01,16,-0.6652000000000002
