run_id,pid,start_time,end_time,duration_seconds,agent_type,gamma,learning_rate,epsilon_decay,is_slippery,reward_schedule,epsilon_start,epsilon_end,seed,avg_final_reward
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_001_seed_16,26328,2025-12-16T23:44:17.671661,2025-12-16T23:44:19.217382,1.545721,qlearning,0.99,0.001,0.95,True,"(1, -1, -0.01)",1.0,0.01,16,-0.5044
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_0005_seed_7,28048,2025-12-16T23:44:15.985825,2025-12-16T23:44:18.206963,2.221138,qlearning,0.85,0.0005,0.99,True,"(1, -1, -0.01)",1.0,0.01,7,-0.5310000000000001
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_001_seed_13,21132,2025-12-16T23:44:16.104928,2025-12-16T23:44:18.365048,2.26012,qlearning,0.95,0.001,0.99,True,"(1, -1, -0.01)",1.0,0.01,13,-0.5327000000000001
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_95_is_slippery_True_learning_rate_0_001_seed_12,29748,2025-12-16T23:44:16.101085,2025-12-16T23:44:18.342159,2.241074,qlearning,0.95,0.001,0.95,True,"(1, -1, -0.01)",1.0,0.01,12,-0.5444
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_001_seed_5,30608,2025-12-16T23:44:15.947426,2025-12-16T23:44:18.233239,2.285813,qlearning,0.85,0.001,0.99,True,"(1, -1, -0.01)",1.0,0.01,5,-0.5597000000000001
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_001_seed_1,27604,2025-12-16T23:44:15.771679,2025-12-16T23:44:17.899695,2.128016,qlearning,0.8,0.001,0.99,True,"(1, -1, -0.01)",1.0,0.01,1,-0.5728000000000002
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_0005_seed_11,27988,2025-12-16T23:44:16.070765,2025-12-16T23:44:18.318824,2.248059,qlearning,0.9,0.0005,0.99,True,"(1, -1, -0.01)",1.0,0.01,11,-0.6041000000000001
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_85_is_slippery_True_learning_rate_0_001_seed_4,28148,2025-12-16T23:44:15.903968,2025-12-16T23:44:18.142392,2.238424,qlearning,0.85,0.001,0.95,True,"(1, -1, -0.01)",1.0,0.01,4,-0.6154
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_99_is_slippery_True_learning_rate_0_001_seed_17,27604,2025-12-16T23:44:18.182523,2025-12-16T23:44:19.434179,1.251656,qlearning,0.99,0.001,0.99,True,"(1, -1, -0.01)",1.0,0.01,17,-0.6232000000000001
agent_type_qlearning_epsilon_decay_0_99_epsilon_end_0_01_epsilon_start_1_0_gamma_0_9_is_slippery_True_learning_rate_0_001_seed_9,29036,2025-12-16T23:44:16.048865,2025-12-16T23:44:18.340746,2.291881,qlearning,0.9,0.001,0.99,True,"(1, -1, -0.01)",1.0,0.01,9,-0.6277000000000001
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_0005_seed_2,31444,2025-12-16T23:44:15.864360,2025-12-16T23:44:18.070760,2.2064,qlearning,0.8,0.0005,0.95,True,"(1, -1, -0.01)",1.0,0.01,2,-0.649
agent_type_qlearning_epsilon_decay_0_95_epsilon_end_0_01_epsilon_start_1_0_gamma_0_8_is_slippery_True_learning_rate_0_001_seed_0,26328,2025-12-16T23:44:15.476116,2025-12-16T23:44:17.424443,1.948327,qlearning,0.8,0.001,0.95,True,"(1, -1, -0.01)",1.0,0.01,0,-0.6517000000000002
